kx	ky	Q3(up)
0.268926	0.685751	0.193412
0.280131	0.69222	0.193411
0.291336	0.698689	0.192728
0.302541	0.705159	0.191493
0.112052	0.59518	0.18993
0.123258	0.601649	0.188292
0.134463	0.608119	0.186805
0.145668	0.614588	0.185622
0.156873	0.621057	0.18482
0.168078	0.627527	0.18442
0.179284	0.633996	0.18442
0.190489	0.640465	0.18482
0.201694	0.659873	0.187574
0.212899	0.666342	0.188652
0.224105	0.672812	0.18996
0.23531	0.679281	0.191336
0.246515	0.68575	0.192561
0.25772	0.69222	0.193411
0.268926	0.698689	0.193716
0.280131	0.705159	0.193411
0.291336	0.711628	0.192561
0.302541	0.718097	0.191336
0.112052	0.608118	0.189959
0.123258	0.614588	0.188652
0.134463	0.621057	0.187573
0.145668	0.627526	0.186805
0.156873	0.633996	0.186357
0.168078	0.640465	0.186212
0.179284	0.646934	0.186357
0.190489	0.653404	0.186805
0.201694	0.672812	0.189252
0.212899	0.679281	0.190091
0.224105	0.685751	0.191095
0.23531	0.69222	0.19211
0.246515	0.698689	0.192941
0.25772	0.705159	0.193412
0.268926	0.711628	0.193411
0.280131	0.718097	0.192941
0.291336	0.724567	0.192109
0.302541	0.731036	0.191095
0.112052	0.621057	0.190092
0.123258	0.627527	0.189252
0.134463	0.633996	0.188652
0.145668	0.640465	0.188292
0.156873	0.646935	0.188131
0.168078	0.653404	0.188131
0.179284	0.659873	0.188292
0.190489	0.666343	0.188652
0.201694	0.68575	0.190394
0.212899	0.69222	0.190884
0.224105	0.698689	0.191499
0.23531	0.705159	0.192109
0.246515	0.711628	0.192561
0.25772	0.718097	0.192728
0.268926	0.724567	0.192561
0.280131	0.731036	0.19211
0.291336	0.737505	0.191499
0.302541	0.743975	0.190884
0.112052	0.633996	0.190394
0.123258	0.640465	0.190091
0.134463	0.646934	0.189959
0.145668	0.653404	0.189929
0.156873	0.659873	0.18993
0.168078	0.666342	0.189929
0.179284	0.672812	0.189959
0.190489	0.679281	0.190091
0.201694	0.698689	0.1908
0.212899	0.705159	0.190884
0.224105	0.711628	0.191095
0.23531	0.718097	0.191336
0.246515	0.724567	0.191493
0.25772	0.731036	0.191493
0.268926	0.737505	0.191336
0.280131	0.743975	0.191095
0.291336	0.750444	0.190884
0.302541	0.756913	0.190801
0.112052	0.646935	0.190884
0.123258	0.653404	0.191095
0.134463	0.659873	0.191336
0.145668	0.666343	0.191493
0.156873	0.672812	0.191493
0.168078	0.679281	0.191336
0.179284	0.685751	0.191095
0.190489	0.69222	0.190884
0.201694	0.478732	0.190394
0.212899	0.485201	0.190091
0.224105	0.49167	0.189959
0.23531	0.49814	0.189929
0.246515	0.504609	0.18993
0.25772	0.511078	0.18993
0.268926	0.517548	0.189959
0.280131	0.524017	0.190091
0.291336	0.530486	0.190394
0.302541	0.536956	0.190884
0.112052	0.426977	0.191498
0.123258	0.433446	0.19211
0.134463	0.439916	0.192561
0.145668	0.446385	0.192728
0.156873	0.452854	0.192561
0.168078	0.459324	0.192109
0.179284	0.465793	0.191499
0.190489	0.472262	0.190884
0.201694	0.49167	0.189252
0.212899	0.49814	0.188652
0.224105	0.504609	0.188292
0.23531	0.511078	0.188131
0.246515	0.517548	0.188132
0.25772	0.524017	0.188292
0.268926	0.530486	0.188652
0.280131	0.536956	0.189252
0.291336	0.543425	0.190091
0.302541	0.549894	0.191095
0.112052	0.439916	0.19211
0.123258	0.446385	0.192941
0.134463	0.452854	0.193411
0.145668	0.459323	0.193411
0.156873	0.465793	0.192941
0.168078	0.472262	0.192109
0.179284	0.478732	0.191095
0.190489	0.485201	0.190092
0.201694	0.504609	0.187574
0.212899	0.511078	0.186805
0.224105	0.517548	0.186358
0.23531	0.524017	0.186212
0.246515	0.530486	0.186358
0.25772	0.536956	0.186805
0.268926	0.543425	0.187574
0.280131	0.549894	0.188652
0.291336	0.556364	0.189959
