#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 306 104
# Band-Index:    1
   2.29905    -14.489989    -14.488215
   2.28402    -14.480646    -14.478645
   2.26900    -14.470485    -14.468239
   2.25398    -14.459524    -14.457016
   2.23895    -14.447786    -14.444999
   2.22393    -14.435293    -14.432208
   2.20891    -14.422072    -14.418672
   2.19388    -14.408152    -14.404418
   2.17886    -14.393564    -14.389479
   2.16384    -14.378347    -14.373891
   2.14881    -14.362539    -14.357696
   2.13379    -14.346187    -14.340940
   2.11877    -14.329344    -14.323677
   2.10374    -14.312065    -14.305963
   2.08872    -14.294412    -14.287863
   2.07370    -14.276461    -14.269454
   2.05867    -14.258296    -14.250824
   2.04365    -14.240014    -14.232077
   2.02863    -14.221732    -14.213340
   2.01360    -14.203584    -14.194759
   1.99858    -14.185737    -14.176524
   1.98356    -14.168393    -14.158877
   1.96853    -14.151808    -14.142144
   1.95351    -14.136320    -14.126797
   1.93849    -14.122399    -14.113556
   1.92346    -14.110714    -14.103528
   1.90844    -14.101000    -14.098078
   1.89342    -14.097817    -14.097817
   1.89342    -14.097817    -14.097817
   1.88807    -14.097401    -14.098690
   1.88273    -14.097465    -14.099976
   1.87739    -14.098005    -14.101616
   1.87205    -14.098993    -14.103549
   1.86670    -14.100380    -14.105716
   1.86136    -14.102107    -14.108065
   1.85602    -14.104112    -14.110549
   1.85068    -14.106338    -14.113131
   1.84533    -14.108733    -14.115780
   1.83999    -14.111253    -14.118470
   1.83465    -14.113862    -14.121180
   1.82931    -14.116530    -14.123893
   1.82396    -14.119233    -14.126596
   1.81862    -14.121952    -14.129277
   1.81328    -14.124670    -14.131928
   1.80794    -14.127374    -14.134540
   1.80260    -14.130053    -14.137106
   1.79725    -14.132699    -14.139621
   1.79191    -14.135303    -14.142080
   1.78657    -14.137860    -14.144480
   1.78123    -14.140365    -14.146817
   1.77588    -14.142811    -14.149087
   1.77054    -14.145197    -14.151288
   1.76520    -14.147519    -14.153419
