#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 204 192
# Band-Index:    1
   0.88010    -60.338466    -60.338466
   0.88957    -60.338465    -60.338465
   0.89905    -60.338465    -60.338465
   0.90853    -60.338465    -60.338465
   0.91800    -60.338465    -60.338465
   0.92748    -60.338465    -60.338465
   0.93696    -60.338465    -60.338465
   0.94643    -60.338465    -60.338465
   0.95591    -60.338465    -60.338465
   0.96539    -60.338465    -60.338465
   0.97487    -60.338465    -60.338465
   0.98434    -60.338465    -60.338465
   0.99382    -60.338465    -60.338465
   1.00330    -60.338465    -60.338465
   1.01277    -60.338465    -60.338465
   1.02225    -60.338465    -60.338465
   1.03173    -60.338465    -60.338465
   1.04120    -60.338465    -60.338465
   1.05068    -60.338465    -60.338465
   1.06016    -60.338465    -60.338465
   1.06963    -60.338465    -60.338465
   1.07911    -60.338465    -60.338465
   1.08859    -60.338465    -60.338465
   1.09806    -60.338465    -60.338465
   1.10754    -60.338465    -60.338465
   1.11702    -60.338465    -60.338465
   1.12650    -60.338465    -60.338465
   1.13597    -60.338465    -60.338465
   1.14545    -60.338465    -60.338465
   1.15493    -60.338465    -60.338465
   1.16440    -60.338465    -60.338465
   1.17388    -60.338465    -60.338465
   1.18336    -60.338465    -60.338465
   1.19283    -60.338465    -60.338465
   1.20231    -60.338465    -60.338465
   1.21179    -60.338465    -60.338465
   1.22126    -60.338465    -60.338465
   1.22126    -60.338465    -60.338465
   1.22674    -60.338465    -60.338465
   1.23221    -60.338465    -60.338465
   1.23768    -60.338465    -60.338465
   1.24315    -60.338465    -60.338465
   1.24862    -60.338465    -60.338465
   1.25409    -60.338465    -60.338465
   1.25957    -60.338465    -60.338465
   1.26504    -60.338465    -60.338465
   1.27051    -60.338465    -60.338465
   1.27598    -60.338465    -60.338465
   1.28145    -60.338465    -60.338465
   1.28692    -60.338465    -60.338465
   1.29239    -60.338465    -60.338465
   1.29787    -60.338465    -60.338465
   1.30334    -60.338465    -60.338465
   1.30881    -60.338465    -60.338465
   1.31428    -60.338465    -60.338465
   1.31975    -60.338465    -60.338465
   1.32522    -60.338465    -60.338465
   1.33069    -60.338465    -60.338465
   1.33617    -60.338465    -60.338465
   1.34164    -60.338465    -60.338465
   1.34711    -60.338465    -60.338465
   1.35258    -60.338465    -60.338465
   1.35805    -60.338465    -60.338465
   1.36352    -60.338465    -60.338465
   1.36899    -60.338465    -60.338465
   1.37447    -60.338465    -60.338465
   1.37994    -60.338465    -60.338465
   1.38541    -60.338465    -60.338465
   1.39088    -60.338465    -60.338465
   1.39635    -60.338465    -60.338465
   1.40182    -60.338465    -60.338465
   1.40730    -60.338465    -60.338465
   1.41277    -60.338465    -60.338465
   1.41824    -60.338465    -60.338465
   1.42371    -60.338465    -60.338465
   1.42918    -60.338465    -60.338465
   1.43465    -60.338465    -60.338465
   1.44012    -60.338465    -60.338465
   1.44560    -60.338465    -60.338465
   1.45107    -60.338465    -60.338465
   1.45654    -60.338465    -60.338465
   1.46201    -60.338465    -60.338465
   1.46748    -60.338465    -60.338465
   1.47295    -60.338465    -60.338465
   1.47842    -60.338465    -60.338465
   1.48390    -60.338465    -60.338465
   1.48937    -60.338465    -60.338465
   1.49484    -60.338465    -60.338465
 
# Band-Index:    4
   1.49484    -60.338464    -60.338464
   1.48937    -60.338464    -60.338464
   1.48390    -60.338464    -60.338464
   1.47842    -60.338464    -60.338464
   1.47295    -60.338464    -60.338464
   1.46748    -60.338464    -60.338464
   1.46201    -60.338464    -60.338464
   1.45654    -60.338464    -60.338464
   1.45107    -60.338464    -60.338464
   1.44560    -60.338464    -60.338464
   1.44012    -60.338464    -60.338464
   1.43465    -60.338464    -60.338464
   1.42918    -60.338464    -60.338464
   1.42371    -60.338464    -60.338464
   1.41824    -60.338464    -60.338464
   1.41277    -60.338464    -60.338464
   1.40730    -60.338464    -60.338464
   1.40182    -60.338464    -60.338464
   1.39635    -60.338464    -60.338464
