kx	ky	Q3(up)
0.0798119	-0.00921589	-0.0487212
-0.0798119	-0.101375	-0.0542311
-0.0718308	-0.0967668	-0.0579647
-0.0638496	-0.0921589	-0.0598324
-0.0558684	-0.087551	-0.0598305
-0.0478872	-0.082943	-0.0579607
-0.039906	-0.0783351	-0.0542252
-0.0319248	-0.0737271	-0.0487141
-0.0239436	-0.0691192	-0.0417781
-0.0159624	-0.0645112	-0.0341254
-0.00798121	-0.0599033	-0.0265594
0.	-0.0460794	-0.00613366
0.00798121	-0.0414715	-0.000287189
0.0159624	-0.0368635	0.00304379
0.0239436	-0.0322556	0.00304279
0.0319248	-0.0276477	-0.000290258
0.039906	-0.0230397	-0.0061373
0.0478872	-0.0184318	-0.0136523
0.0558684	-0.0138238	-0.0223353
0.0638496	-0.00921589	-0.0316593
0.0718308	-0.00460794	-0.0407209
0.0798119	           -13
-7.72313 10	-0.0484807
-0.0798119	-0.0921589	-0.0542256
-0.0718308	-0.087551	-0.0576873
-0.0638496	-0.082943	-0.058836
-0.0558684	-0.0783351	-0.0576848
-0.0478872	-0.0737271	-0.0542215
-0.039906	-0.0691192	-0.0484747
-0.0319248	-0.0645112	-0.0407143
-0.0239436	-0.0599033	-0.0316529
-0.0159624	-0.0552953	-0.0223292
-0.00798121	-0.0506874	-0.0136475
0.	-0.0368636	0.00693311
0.00798121	-0.0322556	0.0117709
0.0159624	-0.0276477	0.0135101
0.0239436	-0.0230397	0.0117696
0.0319248	-0.0184318	0.00693146
0.039906	-0.0138238	-0.000287258
0.0478872	-0.00921589	-0.00936975
0.0558684	-0.00460794	-0.0198181
0.0638496	           -13
-6.17846 10	-0.0307024
0.0718308	0.00460794	-0.0407153
0.0798119	0.00921589	-0.0487104
-0.0798119	-0.082943	-0.0540916
-0.0718308	-0.0783351	-0.0567483
-0.0638496	-0.0737271	-0.0567463
-0.0558684	-0.0691192	-0.0540881
-0.0478872	-0.0645112	-0.0487063
-0.039906	-0.0599033	-0.0407104
-0.0319248	-0.0552953	-0.030697
-0.0239436	-0.0506874	-0.0198131
-0.0159624	-0.0460795	-0.00936643
-0.00798121	-0.0414715	-0.000284873
0.	-0.0276477	0.0179888
0.00798121	-0.0230397	0.0212985
0.0159624	-0.0184318	0.0212985
0.0239436	-0.0138238	0.0179886
0.0319248	-0.00921589	0.0117712
0.039906	-0.00460794	0.00304743
0.0478872	           -13
-4.63386 10	-0.00776961
0.0558684	0.00460794	-0.0198133
0.0638496	0.00921589	-0.0316494
0.0718308	0.0138238	-0.041771
0.0798119	0.0184318	-0.0491883
-0.0798119	-0.0737271	-0.0535747
-0.0718308	-0.0691192	-0.0550062
-0.0638496	-0.0645112	-0.0535719
-0.0558684	-0.0599033	-0.0491852
-0.0478872	-0.0552953	-0.0417677
-0.039906	-0.0506874	-0.0316456
-0.0319248	-0.0460794	-0.0198099
-0.0239436	-0.0414715	-0.00776632
-0.0159624	-0.0368636	0.00304941
-0.00798121	-0.0322556	0.0117718
0.	-0.0184318	0.026115
0.00798121	-0.0138238	0.0277565
0.0159624	-0.0092159	0.0261155
0.0239436	-0.00460796	0.0212991
0.0319248	           -8
-1.93537 10	0.0135133
0.039906	0.00460793	0.00305001
0.0478872	0.00921587	-0.00936254
0.0558684	0.0138238	-0.0223223
0.0638496	0.0184318	-0.0341151
0.0718308	0.0230397	-0.0434074
0.0798119	0.0276476	-0.0495842
-0.0798119	-0.0645112	-0.0525993
-0.0718308	-0.0599033	-0.0525977
-0.0638496	-0.0552954	-0.0495818
-0.0558684	-0.0506874	-0.0434054
-0.0478872	-0.0460795	-0.0341127
-0.039906	-0.0414715	-0.0223198
-0.0319248	-0.0368636	-0.00935991
-0.0239436	-0.0322556	0.00305175
-0.0159624	-0.0276477	0.0135141
-0.00798121	-0.0230398	0.0212991
0.	-0.00921591	0.0310015
0.00798121	-0.00460795	0.0310018
0.0159624	           -9
-9.67685 10	0.027757
0.0239436	0.00460793	0.0213001
0.0319248	0.00921587	0.0117746
0.039906	0.0138238	-0.000278986
0.0478872	0.0184318	-0.0136378
0.0558684	0.0230397	-0.0265464
0.0638496	0.0276476	-0.0373972
0.0718308	0.0322556	-0.0452739
0.0798119	0.0368635	-0.0499256
-0.0798119	-0.0552954	-0.0514466
-0.0718308	-0.0506874	-0.0499242
-0.0638496	-0.0460795	-0.0452727
-0.0558684	-0.0414715	-0.0373964
-0.0478872	-0.0368636	-0.0265452
-0.039906	-0.0322556	-0.0136362
-0.0319248	-0.0276477	-0.000277519
-0.0239436	-0.0230397	0.0117757
-0.0159624	-0.0184318	0.0213005
-0.00798121	-0.0138239	0.0277567
