kx	ky	Q3(down)
0.0478872	-0.0460794	0.034118
0.0558684	-0.0414715	0.037403
0.0638496	-0.0368636	0.0411451
0.0718308	-0.0322556	0.045282
0.0798119	-0.0276477	0.0495928
-0.0798119	-0.119807	0.0535833
-0.0718308	-0.115199	0.0567557
-0.0638496	-0.110591	0.0588425
-0.0558684	-0.105983	0.0598359
-0.0478872	-0.101375	0.0598375
-0.039906	-0.0967668	0.0588491
-0.0319248	-0.0921589	0.0567653
-0.0239436	-0.087551	0.0535954
-0.0159624	-0.082943	0.0496068
-0.00798121	-0.0783351	0.0452968
0.	-0.0645112	0.0317086
0.00798121	-0.0599033	0.0265594
0.0159624	-0.0552953	0.0223304
0.0239436	-0.0506874	0.0198157
0.0319248	-0.0460794	0.0198137
0.039906	-0.0414715	0.0223252
0.0478872	-0.0368636	0.0265511
0.0558684	-0.0322556	0.0316975
0.0638496	-0.0276477	0.0374061
0.0718308	-0.0230397	0.0434172
0.0798119	-0.0184318	0.0491986
-0.0798119	-0.110591	0.054101
-0.0718308	-0.105983	0.0576955
-0.0638496	-0.101375	0.0598387
-0.0558684	-0.0967668	0.0605454
-0.0478872	-0.0921589	0.0598431
-0.039906	-0.087551	0.0577033
-0.0319248	-0.082943	0.0541114
-0.0239436	-0.0783351	0.0492108
-0.0159624	-0.0737271	0.0434305
-0.00798121	-0.0691192	0.0374185
0.	-0.0552953	0.0196109
0.00798121	-0.0506874	0.0136477
0.0159624	-0.0460794	0.00936808
0.0239436	-0.0414715	0.0077703
0.0319248	-0.0368636	0.00936503
0.039906	-0.0322556	0.0136417
0.0478872	-0.0276477	0.0196029
0.0558684	-0.0230397	0.0265547
0.0638496	-0.0184318	0.0341245
0.0718308	-0.0138238	0.0417816
0.0798119	-0.00921589	0.0487214
-0.0798119	-0.101375	0.0542358
-0.0718308	-0.0967668	0.0579739
-0.0638496	-0.0921589	0.0598444
-0.0558684	-0.087551	0.0598464
-0.0478872	-0.082943	0.0579795
-0.039906	-0.0783351	0.0542446
-0.0319248	-0.0737271	0.0487315
-0.0239436	-0.0691192	0.0417928
-0.0159624	-0.0645112	0.0341356
-0.00798121	-0.0599033	0.0265644
0.	-0.0460794	0.00613421
0.00798121	-0.0414715	0.00028661
0.0159624	-0.0368635	-0.00304597
0.0239436	-0.0322556	-0.00304767
0.0319248	-0.0276477	0.000283026
0.039906	-0.0230397	0.00612908
0.0478872	-0.0184318	0.013645
0.0558684	-0.0138238	0.0223311
0.0638496	-0.00921589	0.0316595
0.0718308	-0.00460794	0.0407261
0.0798119	           -13
-7.72313 10	0.0484908
-0.0798119	-0.0921589	0.0542414
-0.0718308	-0.087551	0.0577068
-0.0638496	-0.082943	0.0588587
-0.0558684	-0.0783351	0.0577104
-0.0478872	-0.0737271	0.0542481
-0.039906	-0.0691192	0.0485001
-0.0319248	-0.0645112	0.0407359
-0.0239436	-0.0599033	0.0316691
-0.0159624	-0.0552953	0.0223395
-0.00798121	-0.0506874	0.0136522
0.	-0.0368636	-0.00693062
0.00798121	-0.0322556	-0.0117687
0.0159624	-0.0276477	-0.0135104
0.0239436	-0.0230397	-0.0117711
0.0319248	-0.0184318	-0.00693371
0.039906	-0.0138238	0.000285907
0.0478872	-0.00921589	0.00937053
0.0558684	-0.00460794	0.0198227
0.0638496	           -13
-6.17846 10	0.0307122
0.0718308	0.00460794	0.0407307
0.0798119	0.00921589	0.0487311
-0.0798119	-0.082943	0.0541167
-0.0718308	-0.0783351	0.0567768
-0.0638496	-0.0737271	0.0567785
-0.0558684	-0.0691192	0.054122
-0.0478872	-0.0645112	0.0487389
-0.039906	-0.0599033	0.0407397
-0.0319248	-0.0552953	0.0307212
-0.0239436	-0.0506874	0.0198302
-0.0159624	-0.0460795	0.00937603
-0.00798121	-0.0414715	0.000289906
0.	-0.0276477	-0.0179855
0.00798121	-0.0230397	-0.021295
0.0159624	-0.0184318	-0.0212961
0.0239436	-0.0138238	-0.0179867
0.0319248	-0.00921589	-0.0117692
0.039906	-0.00460794	-0.00304287
0.0478872	           -13
-4.63386 10	0.00777764
0.0558684	0.00460794	0.0198269
0.0638496	0.00921589	0.0316683
0.0718308	0.0138238	0.0417956
0.0798119	0.0184318	0.0492174
-0.0798119	-0.0737271	0.0536078
-0.0718308	-0.0691192	0.0550424
-0.0638496	-0.0645112	0.0536105
-0.0558684	-0.0599033	0.0492232
-0.0478872	-0.0552953	0.0418024
-0.039906	-0.0506874	0.0316755
-0.0319248	-0.0460794	0.019833
-0.0239436	-0.0414715	0.00778295
-0.0159624	-0.0368636	-0.0030401
-0.00798121	-0.0322556	-0.0117676
0.	-0.0184318	-0.0261107
0.00798121	-0.0138238	-0.0277522
0.0159624	-0.0092159	-0.0261111
0.0239436	-0.00460796	-0.021295
0.0319248	           -8
-1.93537 10	-0.0135073
0.039906	0.00460793	-0.00304111
0.0478872	0.00921587	0.00937713
0.0558684	0.0138238	0.0223433
0.0638496	0.0184318	0.0341421
0.0718308	0.0230397	0.0434391
0.0798119	0.0276476	0.0496203
-0.0798119	-0.0645112	0.0526385
-0.0718308	-0.0599033	0.0526385
-0.0638496	-0.0552954	0.0496231
-0.0558684	-0.0506874	0.0434434
-0.0478872	-0.0460795	0.0341475
-0.039906	-0.0414715	0.0223485
-0.0319248	-0.0368636	0.00938132
-0.0239436	-0.0322556	-0.00303746
-0.0159624	-0.0276477	-0.0135058
-0.00798121	-0.0230398	-0.0212944
0.	-0.00921591	-0.0309968
0.00798121	-0.00460795	-0.0309969
0.0159624	           -9
-9.67685 10	-0.0277521
0.0239436	0.00460793	-0.0212937
0.0319248	0.00921587	-0.0117651
0.039906	0.0138238	0.000293998
0.0478872	0.0184318	0.0136592
0.0558684	0.0230397	0.0265742
0.0638496	0.0276476	0.0374306
0.0718308	0.0322556	0.0453113
0.0798119	0.0368635	0.0499657
-0.0798119	-0.0552954	0.0514882
-0.0718308	-0.0506874	0.0499669
-0.0638496	-0.0460795	0.0453134
-0.0558684	-0.0414715	0.0374329
-0.0478872	-0.0368636	0.0265769
-0.039906	-0.0322556	0.0136613
-0.0319248	-0.0276477	0.000295665
-0.0239436	-0.0230397	-0.0117639
-0.0159624	-0.0184318	-0.0212927
-0.00798121	-0.0138239	-0.027752
